delta,light_intensity,grey_out
1,77.735620000,0
1,81.622400000,0
1,85.703510000,0
1,89.988690000,0
1,94.488110000,0
1,99.212520000,0
1,104.173100000,0
1,109.381800000,1
1,114.850900000,0
1,120.593400000,1
1,126.623100000,0
1,132.954200000,0
1,139.601900000,1
1,146.582000000,0
1,153.911100000,0
1,161.606600000,0
1,169.687000000,0
1,178.171300000,0
1,187.079900000,0
1,196.433900000,0
1,206.255500000,0
1,216.568300000,0
1,227.396700000,0
1,238.766500000,0
1,250.704800000,0
1,263.240100000,0
1,276.402100000,0
1,290.222200000,0
1,304.733300000,0
1,319.969900000,0
1,335.968400000,0
1,352.766800000,0
1,370.405200000,0
1,388.925400000,0
2,0.000100000,14
2,0.000105000,14
2,0.000110250,13
2,0.000115763,13
2,0.000121551,14
2,0.000127628,15
2,0.000134010,14
2,0.000140710,15
2,0.000147746,14
2,0.000155133,14
2,0.000162889,15
2,0.000171034,14
2,0.000179586,13
2,0.000188565,14
2,0.000197993,13
2,0.000207893,14
2,0.000218287,14
2,0.000229202,14
2,0.000240662,15
2,0.000252695,14
2,0.000265330,14
2,0.000278596,13
2,0.000292526,14
2,0.000307152,14
2,0.000322510,13
2,0.000338635,13
2,0.000355567,14
2,0.000373345,13
2,0.000392012,14
2,0.000411613,13
2,0.000432194,14
2,0.000453803,14
2,0.000476494,14
2,0.000500318,14
2,0.000525334,13
2,0.000551601,13
2,0.000579181,14
2,0.000608140,15
2,0.000638547,14
2,0.000670474,15
2,0.000703998,14
2,0.000739198,14
2,0.000776157,15
2,0.000814965,14
2,0.000855713,13
2,0.000898499,14
2,0.000943424,13
2,0.000990595,14
2,0.001040125,10
2,0.001092131,10
2,0.001146737,10
2,0.001204074,9
2,0.001264278,9
2,0.001327492,8
2,0.001393866,9
2,0.001463560,8
2,0.001536738,8
2,0.001613575,8
2,0.001694253,8
2,0.001778966,7
2,0.001867914,7
2,0.001961310,6
2,0.002059375,7
2,0.002162344,6
2,0.002270461,6
2,0.002383984,6
2,0.002503183,6
2,0.002628342,5
2,0.002759759,6
2,0.002897747,6
2,0.003042634,5
2,0.003194765,6
2,0.003354504,4
2,0.003522228,4
2,0.003698340,4
2,0.003883257,3
2,0.004077419,2
2,0.004281290,3
2,0.004495354,2
2,0.004720122,2
2,0.004956128,2
2,0.005203934,2
2,0.005464131,2
2,0.005737337,2
2,0.006024204,1
2,0.006325413,1
2,0.006641684,1
2,0.006973768,1
2,0.007322456,0
2,0.007688578,0
2,0.008073007,0
2,0.008476657,0
2,0.008900490,0
2,0.009345514,0
2,0.009812789,0
2,0.010303430,0
2,0.010818600,0
2,0.011359530,0
2,0.011927510,0
2,0.012523880,0
2,0.013150070,0
2,0.013807580,1
2,0.014497960,0
2,0.015222850,1
2,0.015983990,0
2,0.016783190,0
2,0.017622350,1
2,0.018503470,0
2,0.019428640,0
2,0.020400070,0
2,0.021420070,0
2,0.022491080,0
2,0.023615630,0
2,0.024796410,0
2,0.026036230,0
2,0.027338040,0
2,0.028704940,0
2,0.030140190,0
2,0.031647190,0
2,0.033229550,0
2,0.034891030,0
2,0.036635580,0
2,0.038467360,0
2,0.040390720,0
2,0.042410260,0
2,0.044530770,0
2,0.046757300,0
2,0.049095160,0
2,0.051549920,0
2,0.054127420,0
2,0.056833790,0
2,0.059675470,0
2,0.062659240,0
2,0.065792200,1
2,0.069081810,0
2,0.072535900,1
2,0.076162700,0
2,0.079970830,0
2,0.083969370,1
2,0.088167830,0
2,0.092576220,0
2,0.097205030,0
2,0.102065300,0
2,0.107168500,0
2,0.112527000,0
2,0.118153300,0
2,0.124061000,0
2,0.130264000,0
2,0.136777200,0
2,0.143616100,0
2,0.150796800,0
2,0.158336700,0
2,0.166253500,0
2,0.174566200,0
2,0.183294500,0
2,0.192459200,0
2,0.202082100,0
2,0.212186200,0
2,0.222795500,0
2,0.233935300,0
2,0.245632100,0
2,0.257913600,0
2,0.270809300,0
2,0.284349800,0
2,0.298567200,0
2,0.313495600,1
2,0.329170300,0
2,0.345628900,1
2,0.362910300,0
2,0.381055800,0
2,0.400108500,1
2,0.420114000,0
2,0.441119600,0
2,0.463175600,0
2,0.486334400,0
2,0.510651100,0
2,0.536183600,0
2,0.562992800,0
2,0.591142400,0
2,0.620699500,0
2,0.651734400,0
2,0.684321100,0
2,0.718537200,0
2,0.754464000,0
2,0.792187200,0
2,0.831796500,0
2,0.873386300,0
2,0.917055500,0
2,0.962908300,0
2,1.011054000,0
2,1.061606000,0
2,1.114687000,0
2,1.170421000,0
2,1.228942000,0
2,1.290389000,0
2,1.354908000,0
2,1.422654000,0
2,1.493786000,1
2,1.568476000,0
2,1.646899000,1
2,1.729244000,0
2,1.815706000,0
2,1.906492000,1
2,2.001816000,0
2,2.101907000,0
2,2.207002000,0
2,2.317352000,0
2,2.433219000,0
2,2.554880000,0
2,2.682624000,0
2,2.816755000,0
2,2.957593000,0
2,3.105473000,0
2,3.260746000,0
2,3.423783000,0
2,3.594972000,0
2,3.774721000,0
2,3.963457000,0
2,4.161629000,0
2,4.369710000,0
2,4.588196000,0
2,4.817605000,0
2,5.058486000,0
2,5.311409000,0
2,5.576980000,0
2,5.855828000,0
2,6.148620000,0
2,6.456050000,0
2,6.778852000,0
2,7.117795000,1
2,7.473684000,0
2,7.847368000,1
2,8.239737000,0
2,8.651723000,0
2,9.084309000,1
2,9.538524000,0
2,10.015450000,0
2,10.516220000,0
2,11.042030000,0
2,11.594130000,0
2,12.173840000,0
2,12.782530000,0
2,13.421660000,0
2,14.092740000,0
2,14.797370000,0
2,15.537240000,0
2,16.314100000,0
2,17.129810000,0
2,17.986300000,0
2,18.885610000,0
2,19.829890000,0
2,20.821390000,0
2,21.862460000,0
2,22.955580000,0
2,24.103360000,0
2,25.308520000,0
2,26.573950000,0
2,27.902640000,0
2,29.297770000,0
2,30.762660000,0
2,32.300790000,0
2,33.915820000,1
2,35.611610000,0
2,37.392190000,1
2,39.261800000,0
2,41.224890000,0
2,43.286130000,1
2,45.450430000,0
2,47.722950000,0
2,50.109100000,0
2,52.614550000,0
2,55.245270000,0
2,58.007530000,0
2,60.907910000,0
2,63.953300000,0
2,67.150960000,0
2,70.508510000,0
2,74.033930000,0
2,77.735620000,0
2,81.622400000,0
2,85.703510000,0
2,89.988690000,0
2,94.488110000,0
2,99.212520000,0
2,104.173100000,0
2,109.381800000,0
2,114.850900000,0
2,120.593400000,0
2,126.623100000,0
