delta,light_intensity,grey_out
4,0.304772400,0
4,0.365726900,0
4,0.438872300,0
4,0.526646700,0
4,0.631976100,0
4,0.758371400,0
4,0.910045700,0
4,1.092055000,1
4,1.310466000,0
4,1.572559000,1
4,1.887071000,0
4,2.264486000,0
4,2.717383000,1
4,3.260860000,0
4,3.913032000,0
4,4.695638000,0
4,5.634766000,0
4,6.761720000,0
4,8.114064000,0
4,9.736877000,0
4,11.684250000,0
4,14.021100000,0
4,16.825330000,0
4,20.190390000,0
4,24.228470000,0
4,29.074170000,0
4,34.889000000,0
4,41.866810000,0
4,50.240170000,0
4,60.288200000,0
4,72.345850000,0
4,86.815020000,0
4,104.178000000,0
4,125.013600000,0
5,0.000100000,0
5,0.000120000,0
5,0.000144000,0
5,0.000172800,0
5,0.000207360,0
5,0.000248832,1
5,0.000298599,0
5,0.000358318,1
5,0.000429982,0
5,0.000515978,0
5,0.000619174,1
5,0.000743009,0
5,0.000891611,0
5,0.001069933,0
5,0.001283919,0
5,0.001540703,0
5,0.001848844,0
5,0.002218613,0
5,0.002662335,0
5,0.003194802,0
5,0.003833763,0
5,0.004600516,0
5,0.005520619,0
5,0.006624744,0
5,0.007949693,0
5,0.009539632,0
5,0.011447560,0
5,0.013737070,102
5,0.016484490,152
5,0.019781380,191
5,0.023737660,228
5,0.028485200,250
5,0.034182240,212
5,0.041018690,158
5,0.049222430,12
5,0.059066920,0
5,0.070880300,0
5,0.085056360,1
5,0.102067600,0
5,0.122481200,1
5,0.146977400,0
5,0.176372900,0
5,0.211647500,1
5,0.253977000,0
5,0.304772400,0
5,0.365726900,0
5,0.438872300,0
5,0.526646700,0
5,0.631976100,0
5,0.758371400,0
5,0.910045700,0
5,1.092055000,0
5,1.310466000,0
5,1.572559000,0
5,1.887071000,0
5,2.264486000,0
5,2.717383000,0
5,3.260860000,0
5,3.913032000,0
5,4.695638000,0
5,5.634766000,0
5,6.761720000,0
5,8.114064000,0
5,9.736877000,0
5,11.684250000,0
5,14.021100000,0
5,16.825330000,0
5,20.190390000,0
5,24.228470000,0
5,29.074170000,1
5,34.889000000,0
5,41.866810000,1
5,50.240170000,0
5,60.288200000,0
5,72.345850000,1
5,86.815020000,0
5,104.178000000,0
5,125.013600000,0
6,0.000100000,0
6,0.000120000,0
6,0.000144000,0
6,0.000172800,0
6,0.000207360,0
6,0.000248832,0
6,0.000298599,0
6,0.000358318,0
6,0.000429982,0
6,0.000515978,0
6,0.000619174,0
6,0.000743009,0
6,0.000891611,0
6,0.001069933,0
6,0.001283919,0
6,0.001540703,0
6,0.001848844,0
6,0.002218613,0
6,0.002662335,0
6,0.003194802,0
6,0.003833763,0
6,0.004600516,0
6,0.005520619,0
6,0.006624744,1
6,0.007949693,0
6,0.009539632,1
6,0.011447560,0
6,0.013737070,0
6,0.016484490,1
6,0.019781380,0
6,0.023737660,0
6,0.028485200,52
6,0.034182240,156
6,0.041018690,211
6,0.049222430,253
6,0.059066920,205
6,0.070880300,135
6,0.085056360,0
6,0.102067600,0
6,0.122481200,0
6,0.146977400,0
6,0.176372900,0
6,0.211647500,0
6,0.253977000,0
6,0.304772400,0
6,0.365726900,0
6,0.438872300,0
6,0.526646700,0
6,0.631976100,0
6,0.758371400,0
6,0.910045700,0
6,1.092055000,0
6,1.310466000,0
6,1.572559000,0
6,1.887071000,0
6,2.264486000,1
6,2.717383000,0
6,3.260860000,1
6,3.913032000,0
6,4.695638000,0
6,5.634766000,1
6,6.761720000,0
6,8.114064000,0
6,9.736877000,0
6,11.684250000,0
6,14.021100000,0
6,16.825330000,0
6,20.190390000,0
6,24.228470000,0
6,29.074170000,0
6,34.889000000,0
6,41.866810000,0
6,50.240170000,0
6,60.288200000,0
6,72.345850000,0
6,86.815020000,0
6,104.178000000,0
6,125.013600000,0
7,0.000100000,0
7,0.000120000,0
7,0.000144000,0
7,0.000172800,0
7,0.000207360,0
7,0.000248832,0
7,0.000298599,0
7,0.000358318,0
7,0.000429982,0
7,0.000515978,1
7,0.000619174,0
7,0.000743009,1
7,0.000891611,0
7,0.001069933,0
7,0.001283919,1
7,0.001540703,0
7,0.001848844,0
7,0.002218613,0
7,0.002662335,0
7,0.003194802,0
7,0.003833763,0
7,0.004600516,0
7,0.005520619,0
7,0.006624744,0
7,0.007949693,0
7,0.009539632,0
7,0.011447560,0
7,0.013737070,0
7,0.016484490,0
7,0.019781380,0
7,0.023737660,0
7,0.028485200,0
7,0.034182240,0
7,0.041018690,0
7,0.049222430,0
7,0.059066920,165
7,0.070880300,225
7,0.085056360,231
7,0.102067600,163
7,0.122481200,0
7,0.146977400,0
7,0.176372900,1
7,0.211647500,0
7,0.253977000,1
7,0.304772400,0
7,0.365726900,0
7,0.438872300,1
7,0.526646700,0
7,0.631976100,0
7,0.758371400,0
7,0.910045700,0
7,1.092055000,0
7,1.310466000,0
7,1.572559000,0
7,1.887071000,0
7,2.264486000,0
7,2.717383000,0
7,3.260860000,0
7,3.913032000,0
7,4.695638000,0
7,5.634766000,0
7,6.761720000,0
7,8.114064000,0
7,9.736877000,0
7,11.684250000,0
7,14.021100000,0
7,16.825330000,0
7,20.190390000,0
7,24.228470000,0
7,29.074170000,0
7,34.889000000,0
7,41.866810000,0
7,50.240170000,0
7,60.288200000,1
7,72.345850000,0
7,86.815020000,1
7,104.178000000,0
7,125.013600000,0
8,0.000100000,1
8,0.000120000,0
8,0.000144000,0
8,0.000172800,0
8,0.000207360,0
8,0.000248832,0
8,0.000298599,0
8,0.000358318,0
8,0.000429982,0
8,0.000515978,0
8,0.000619174,0
8,0.000743009,0
8,0.000891611,0
8,0.001069933,0
8,0.001283919,0
8,0.001540703,0
8,0.001848844,0
8,0.002218613,0
8,0.002662335,0
8,0.003194802,0
8,0.003833763,0
8,0.004600516,0
8,0.005520619,0
8,0.006624744,0
8,0.007949693,0
8,0.009539632,0
8,0.011447560,0
8,0.013737070,1
8,0.016484490,0
8,0.019781380,1
8,0.023737660,0
8,0.028485200,0
8,0.034182240,1
8,0.041018690,0
8,0.049222430,0
8,0.059066920,0
8,0.070880300,0
8,0.085056360,122
8,0.102067600,207
8,0.122481200,242
8,0.146977400,177
8,0.176372900,0
8,0.211647500,0
8,0.253977000,0
8,0.304772400,0
8,0.365726900,0
8,0.438872300,0
8,0.526646700,0
8,0.631976100,0
8,0.758371400,0
8,0.910045700,0
8,1.092055000,0
8,1.310466000,0
8,1.572559000,0
8,1.887071000,0
8,2.264486000,0
8,2.717383000,0
8,3.260860000,0
8,3.913032000,0
8,4.695638000,1
8,5.634766000,0
8,6.761720000,1
8,8.114064000,0
8,9.736877000,0
8,11.684250000,1
8,14.021100000,0
8,16.825330000,0
8,20.190390000,0
8,24.228470000,0
8,29.074170000,0
8,34.889000000,0
8,41.866810000,0
8,50.240170000,0
8,60.288200000,0
8,72.345850000,0
8,86.815020000,0
